,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Нижний Новгород,,"улица ​Рождественская, 13",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,0,1,1,,1,0,,,,1,0,,,,1,0,,,,1,0,,,,1,0,,,,1,0,,,,1,0,,,был удален,1,0,,,,1,5,2,2,,3,5,1,1,1,4,5,,,,4,5,1,1,5,5,1,1,6,5,,,6,5,,,6,5,,,6,5,,6,5,,6,5,Алексей,,6,5,-,,6,5,-,,6,5,Алексей,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,
Челябинск,https://2gis.ru/chelyabinsk/firm/70000001028034594//tab/reviews,"улица Карла Маркса, 52",#REF!,,,1,,1,1,1,,,,1,1,5,1,1,5,2,2,5,3,1,5,,4,1,5,4,1,5,,,,4,5,,0,0,4,5,,0,0,4,5,,,,4,5,1,1,,5,5,1,1,,6,5,,,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,1,7,5,,,,7,5,1,1,1,8,5,,,,8,5,,,,8,5,,,,8,5,2,2,1,10,5,,,,10,5,,,9,5,,,9,5,1,1,10,5,,,10,5,,,10,5,,10,5,1,11,5,Алексей,,11,5,-,,11,5,-,1,12,5,Алексей,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,1,13,5,Алексей,,13,5,-,,13,5,-,1,14,5,Алексей,,14,5,-,1,15,5,Алексей,,15,5,-,,15,5,,,15,5,,1,16,5,Алексей,,16,5,,,16,5,,,16,5,,1,17,5,Алексей,,17,5,Алексей,,17,5,
Уфа,,"улица Юрия Гагарина, 6",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,,0,0,1,5,,0,0,1,5,1,1,,2,5,1,1,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,1,1,,6,5,,,,6,5,,,,6,5,1,1,2,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,1,9,5,Алексей,,9,5,,,9,5,,,9,5,,1,10,5,Алексей,,10,5,-,,10,5,-,,10,5,,,10,5,,,10,5,,,10,5,,,10,5,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,Алексей
Самара,https://2gis.ru/samara/firm/70000001061161107//tab/reviews,"улица Ярмарочная, 55",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,,0,0,1,5,,0,0,1,5,1,1,,2,5,1,1,1,3,5,,,,3,5,2,2,,5,5,,,,5,5,1,1,,6,5,,,,6,5,,,,6,5,1,1,5,7,5,,,,7,5,1,1,1,8,5,,,,8,5,,,,8,5,,,,8,5,,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,1,10,5,Алексей,,10,5,-,1,11,5,-,,11,5,-,,11,5,-,,11,5,,,11,5,,1,12,5,Алексей,,12,5,,,12,5,,1,13,5,Алексей,,13,5,,,13,5,Алексей,,13,5,
Краснодар,https://2gis.ru/krasnodar/firm/70000001060441667//tab/reviews,"улица ​Красноармейская, 43",#REF!,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,0,,,,1,5,,0,0,1,5,,0,,1,5,,,,1,5,1,1,1,2,5,1,1,,3,5,,,,3,5,1,1,,4,5,,,,4,5,,,,4,5,,,,4,5,1,1,1,5,5,,,,5,5,,,,5,5,1,1,1,6,5,,,,6,5,,,,6,5,1,1,1,7,5,,,7,5,,,7,5,1,1,8,5,,,8,5,,,8,5,,8,5,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,1,10,5,Алексей,,10,5,-,,10,5,-,1,11,5,Алексей,,11,5,-,1,12,5,Алексей,,12,5,-,,12,5,,,12,5,,1,13,5,Алексей,,13,5,,,13,5,,1,14,5,Алексей,,14,5,,,14,5,Алексей,,14,5,Алексей
Омск,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,1,1,0,1,5,,0,,1,5,1,1,,2,5,1,1,1,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,1,1,4,6,5,,,,6,5,,,,6,5,,,,6,5,1,1,,7,5,,,,7,5,1,1,1,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,Алексей,,8,,Алексей
Воронеж,https://2gis.ru/voronezh/firm/70000001061140626//tab/reviews,"​улица Ленина, 104Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,1,1,1,2,5,,1,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,,,,,3,,,,3,,,,3,,,,3,5,,,3,5,,,3,5,,3,5,1,4,5,Алексей,,4,5,-,,4,5,-,,4,5,-,,4,5,-,,4,5,-,,4,5,,,4,5,,,4,5,,1,5,5,Алексей,,5,5,-,,5,5,-,1,6,5,Алексей,,6,5,-,1,7,5,Алексей,,7,5,-,1,8,5,Алексей,,8,5,,,8,5,,,8,5,,1,9,5,Алексей,,9,5,,1,10,5,Алексей,,10,5,Алексей,,10,5,
Пермь,https://2gis.ru/perm/firm/70000001035695882//tab/reviews,улица Сухобруса 27,#REF!,,,,1,1,,,,,,,,,1,1,5,,,,0,0,0,,1,1,5,1,1,5,,,,1,5,1,1,0,2,5,,0,,2,5,1,1,,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,,,,5,5,,,,5,5,1,1,1,6,5,1,1,1,7,5,,,,7,5,,,,7,5,1,1,,8,5,,,,8,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,,,7,5,,,7,5,,1,8,5,Алексей,,8,5,-,,8,5,-,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,1,10,5,Алексей,,10,5,,,10,5,,,10,5,,1,11,5,Алексей,,11,5,,1,12,5,Алексей,,12,5,Алексей,,12,5,
Волгоград,https://2gis.ru/volgograd/firm/70000001060440636//tab/reviews,"улица ​Калинина, 2А",#REF!,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0,5,,,,1,5,1,1,0,2,5,,0,,2,5,,,,2,5,1,1,1,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,,,,5,5,1,1,1,6,5,1,1,1,7,5,,,,7,5,1,1,1,8,5,,,,8,5,,,,8,5,1,1,1,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,9,5,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,-,1,10,5,Алексей,,10,5,-,1,11,"4,7",Алексей,,11,"4,7",-,1,12,"4,7",Алексей,,12,"4,7",-,1,13,"4,7",Алексей,,13,"4,7",-,1,14,5,-,,14,5,-,,14,5,-,,14,5,,,14,5,,1,15,5,Алексей,,15,5,,,15,5,,1,16,5,Алексей,,16,5,,,16,5,Алексей,,16,5,
Саратов,https://2gis.ru/saratov/firm/70000001061164630//tab/reviews,"улица ​Чернышевского, 90",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,1,1,нет,1,1,1,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,,,,2,,,,2,,,,2,5,,,2,5,,,2,5,,2,5,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,1,5,5,-,,5,5,-,,5,5,-,,5,5,,,5,5,,1,6,5,Алексей,,6,5,,,6,5,,1,7,5,Алексей,,7,5,,,7,5,Алексей,,7,5,
Тюмень,,"улица Коммунистическая, 16А",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,0,2,2,2,3,5,1,1,,4,5,1,1,1,5,5,,,,5,5,1,1,5,5,1,1,6,5,,1,7,"4,3",2,1,8,"4,3",2,1,9,"4,4",,9,"4,4",1,10,"4,4",Алексей,,10,"4,4",-,2,12,5,Алексей,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,,,12,5,Алексей,,12,5,-,,12,5,-,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,
Тольятти,,"улица ​40 лет Победы, 65Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,удален,,,1,удален,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Барнаул,https://2gis.ru/barnaul/firm/70000001077862787/tab/reviews,"улица ​Максима Горького, 22а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,1,1,1,0,,,,1,5,2,2,,3,5,1,1,1,4,5,,,,4,5,1,1,5,5,1,1,6,5,,,6,5,,,6,5,,,6,5,,6,5,,6,5,-,,6,5,-,,6,5,-,1,7,5,Алексей,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,1,8,"4,5",Алексей,,8,"4,5",-,1,9,"4,6",-,,9,"4,6",-,,9,"4,6",-,1,10,"4,6",Алексей,,10,"4,6",,3,13,"4,8",Алексей,,13,"4,8",,,13,"4,8",,1,14,"4,8",Алексей,,14,"4,8",,,14,"4,8",,,14,"4,8",
Ижевск,,"улица Ленина, 21",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Хабаровск,https://2gis.ru/khabarovsk/firm/70000001061178051//tab/reviews,"улица Владивостокская, 16",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,1,2,"3,7",Алексей,2,4,5,Алексей,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,1,6,5,Алексей,,6,5,,,6,5,,1,7,5,Алексей,,7,5,,,7,5,,1,8,5,Алексей,,8,5,,,8,5,,,8,5,
Ульяновск,https://2gis.ru/ulyanovsk/firm/70000001061195273//tab/reviews,"улица Бебеля, 11",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,-,,2,5,-,,2,5,,,2,5,,,2,5,,,2,5,,,2,5,,1,3,5,Алексей,,3,5,-,,3,5,-,1,4,5,Алексей,,4,5,-,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,1,6,5,Алексей,,6,5,,1,7,5,Алексей,,7,5,,,7,5,
Иркутск,https://2gis.ru/irkutsk/firm/70000001061178624//tab/reviews,"улица ​Советская, 3Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,1,1,0,2,5,,0,,2,5,1,1,,3,5,1,1,1,4,5,1,1,,5,5,,,,5,5,1,1,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,1,1,1,7,5,,,,7,5,,,,7,5,1,1,1,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,,8,5,,,8,5,,,8,5,,1,9,5,Алексей,,9,5,-,1,10,5,-,,10,5,-,,10,5,-,,10,5,,,10,5,,,10,5,,1,11,5,Алексей,,11,5,,,11,5,,1,12,5,Алексей,,12,5,,,12,5,,,12,5,
Владивосток,,"улица Некрасовская, 49а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,0,,,,1,5,,,,1,5,,,,1,5,1,1,1,2,5,,1,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,,,,,3,,,,,3,,,,,3,,,,3,,,,3,,,,3,5,1,,3,5,,,3,5,,3,5,,3,5,-,,3,5,-,,3,5,-,,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,
Ярославль,https://2gis.ru/yaroslavl/firm/70000001061168278//tab/reviews,"улица Угличская, 39",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,5,1,2,,Алексей,,2,,-,1,3,4,Алексей,,3,4,,1,4,5,Алексей,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,1,5,5,Алексей,,5,5,-,,5,5,-,1,6,5,Алексей,,6,5,-,,6,5,-,,6,5,,,6,5,,1,7,5,Алексей,,7,5,,,7,5,,1,8,5,Алексей,,8,5,,,8,5,,,8,5,
Севастополь,,"улица Руднева, 35Д",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,Алексей,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,Алексей,,0,,-,,0,,-,,0,,,,0,,,,0,,Алексей,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Ставрополь,https://2gis.ru/stavropol/firm/70000001061161228//tab/reviews,"​проспект Карла Маркса, 63",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,нет,,,1,,,,1,,,1,,1,2,,Алексей,,2,,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,,5,5,,1,6,5,Алексей,,6,5,,,6,5,,1,7,5,Алексей,,7,5,,,7,5,,,7,5,
Кемерово,https://2gis.ru/kemerovo/firm/70000001061211113//tab/reviews,"улица 50 лет Октября, 11",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,1,1,0,2,5,,0,,2,5,,,,2,5,1,1,,3,5,1,1,,4,5,,,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,1,1,1,6,5,,,,6,5,1,1,1,7,5,,,,7,5,,,,7,5,,,,7,5,1,1,1,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,,8,5,,,8,5,,,8,5,,1,9,5,Алексей,,9,5,-,,9,5,-,1,10,5,Алексей,,10,5,-,,10,5,-,,10,5,,,10,5,,1,11,5,Алексей,,11,5,,,11,5,,1,12,5,Алексей,,12,5,,,12,5,,,12,5,
Томск,,"​проспект Фрунзе, 25",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,1,1,0,1,5,,0,0,1,5,1,1,,2,5,,,,2,5,1,1,,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,1,1,2,6,5,,,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,,7,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,
Набережные Челны,https://2gis.ru/nabchelny/firm/70000001061161071//tab/reviews,"проспект Хасана Туфана, 12",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,#REF!,,,,0,,,,,0,0,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,0,нет,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,1,4,5,Алексей,,4,5,-,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,1,6,5,Алексей,,6,5,,1,7,5,Алексей,,7,5,,,7,5,
Оренбург,https://2gis.ru/orenburg/firm/70000001061161844//tab/reviews,"проспект Победы, 114",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,,0,0,1,5,,0,,1,5,1,1,,2,5,1,1,1,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,,,,5,5,1,1,1,6,5,,,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,-,1,8,5,Алексей,,8,5,-,,8,5,-,,8,5,,,8,5,,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,1,10,5,Алексей,,10,5,,1,11,5,Алексей,,11,5,,,11,5,
Новокузнецк,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,1,1,0,1,5,,0,,1,5,1,1,,2,5,1,1,2,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,1,1,3,6,5,,,,6,5,,,,6,5,1,1,1,7,5,,,,7,5,,,,7,5,1,1,1,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,,9,5,,1,10,5,Алексей,,10,5,-,,10,5,-,,10,5,,,10,5,,,10,5,,,10,5,,,10,5,,,10,5,,1,11,5,Алексей,,11,5,,,11,5,Алексей,,11,5,,,11,5,
Рязань,,"Московское шоссе, 20",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,1,1,нет,1,1,1,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,,,,2,,,,2,,,,2,5,,,2,5,,,2,5,,2,5,,2,5,-,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,,,3,5,-,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,
Чебоксары,https://2gis.ru/cheboksary/firm/70000001061171186//tab/reviews,"проспект Максима Горького, 18Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,0,,,,0,,,,0,,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,,1,5,,,1,5,,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,,2,5,,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,,,4,5,,,4,5,
Калининград,https://2gis.ru/kaliningrad/firm/70000001061171670//tab/reviews,"улица ​Фрунзе, 6в",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,1,,,,1,,,,1,5,1,,1,5,,1,2,5,,2,5,,2,5,-,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,,4,5,,1,5,5,Алексей,,5,5,-,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,1,6,5,Алексей,,6,5,,,6,5,
Пенза,,"​улица Максима Горького, 34/56",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Липецк,https://2gis.ru/lipetsk/firm/70000001061163836//tab/reviews,"площадь Петра Великого, 5",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,0,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,5,,,1,5,,,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,,1,5,,,1,5,,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,,2,5,,1,3,5,Алексей,1,4,5,Алексей,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,1,5,5,Алексей,,5,5,,,5,5,
